module,topic,text,answer,distractors
quant,Profit & Loss,An article costs Rs. 360. It is sold at 50% profit. What is the selling price?,Rs. 540,"[""Rs. 576"", ""Rs. 560"", ""Rs. 520""]"
logic,Number Series,"Find the next number in the series: 14, 18, 22, 26, ?",30,"[""34"", ""32"", ""29""]"
logic,Number Series,"Find the next number in the series: 7, 11, 15, 19, ?",23,"[""22"", ""25"", ""27""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 940. It is sold at 50% profit. What is the selling price?,Rs. 1410,"[""Rs. 1504"", ""Rs. 1390"", ""Rs. 1430""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""15 km"", ""12 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 15, 21, 27, 33, ?",39,"[""45"", ""38"", ""41""]"
quant,Time Speed Distance,A train travels at 55 km/h for 4 hours. What distance does it cover?,220 km,"[""275 km"", ""200 km"", ""230 km""]"
logic,Number Series,"Find the next number in the series: 14, 20, 26, 32, ?",38,"[""40"", ""37"", ""44""]"
logic,Number Series,"Find the next number in the series: 5, 11, 17, 23, ?",29,"[""31"", ""28"", ""35""]"
logic,Number Series,"Find the next number in the series: 6, 11, 16, 21, ?",26,"[""25"", ""28"", ""31""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""21 km"", ""17 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""17 km"", ""14 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 11, 15, 19, 23, ?",27,"[""29"", ""31"", ""26""]"
quant,Profit & Loss,An article costs Rs. 660. It is sold at 15% profit. What is the selling price?,Rs. 758,"[""Rs. 778"", ""Rs. 738"", ""Rs. 824""]"
quant,Profit & Loss,An article costs Rs. 730. It is sold at 50% profit. What is the selling price?,Rs. 1095,"[""Rs. 1075"", ""Rs. 1168"", ""Rs. 1115""]"
logic,Number Series,"Find the next number in the series: 8, 16, 24, 32, ?",40,"[""48"", ""39"", ""42""]"
quant,Profit & Loss,An article costs Rs. 260. It is sold at 50% profit. What is the selling price?,Rs. 390,"[""Rs. 370"", ""Rs. 416"", ""Rs. 410""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Number Series,"Find the next number in the series: 3, 9, 15, 21, ?",27,"[""26"", ""29"", ""33""]"
logic,Number Series,"Find the next number in the series: 12, 19, 26, 33, ?",40,"[""42"", ""47"", ""39""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 3, 6, 9, 12, ?",15,"[""14"", ""18"", ""17""]"
quant,Time Speed Distance,A train travels at 90 km/h for 6 hours. What distance does it cover?,540 km,"[""630 km"", ""550 km"", ""520 km""]"
logic,Number Series,"Find the next number in the series: 3, 11, 19, 27, ?",35,"[""34"", ""43"", ""37""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""17 km"", ""14 km""]"
quant,Time Speed Distance,A train travels at 32 km/h for 3 hours. What distance does it cover?,96 km,"[""76 km"", ""106 km"", ""128 km""]"
quant,Profit & Loss,An article costs Rs. 700. It is sold at 20% profit. What is the selling price?,Rs. 840,"[""Rs. 910"", ""Rs. 820"", ""Rs. 860""]"
logic,Number Series,"Find the next number in the series: 8, 11, 14, 17, ?",20,"[""23"", ""22"", ""19""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 330. It is sold at 15% profit. What is the selling price?,Rs. 379,"[""Rs. 399"", ""Rs. 412"", ""Rs. 359""]"
logic,Number Series,"Find the next number in the series: 5, 9, 13, 17, ?",21,"[""25"", ""20"", ""23""]"
quant,Time Speed Distance,A train travels at 36 km/h for 5 hours. What distance does it cover?,180 km,"[""216 km"", ""160 km"", ""190 km""]"
logic,Number Series,"Find the next number in the series: 3, 9, 15, 21, ?",27,"[""29"", ""33"", ""26""]"
quant,Profit & Loss,An article costs Rs. 850. It is sold at 50% profit. What is the selling price?,Rs. 1275,"[""Rs. 1255"", ""Rs. 1360"", ""Rs. 1295""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""17 km"", ""14 km""]"
logic,Number Series,"Find the next number in the series: 9, 16, 23, 30, ?",37,"[""39"", ""44"", ""36""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""14 km"", ""21 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 720. It is sold at 25% profit. What is the selling price?,Rs. 900,"[""Rs. 920"", ""Rs. 972"", ""Rs. 880""]"
logic,Number Series,"Find the next number in the series: 9, 12, 15, 18, ?",21,"[""24"", ""20"", ""23""]"
quant,Time Speed Distance,A train travels at 88 km/h for 3 hours. What distance does it cover?,264 km,"[""274 km"", ""244 km"", ""352 km""]"
logic,Number Series,"Find the next number in the series: 13, 19, 25, 31, ?",37,"[""39"", ""36"", ""43""]"
logic,Number Series,"Find the next number in the series: 14, 17, 20, 23, ?",26,"[""29"", ""28"", ""25""]"
quant,Time Speed Distance,A train travels at 40 km/h for 7 hours. What distance does it cover?,280 km,"[""320 km"", ""290 km"", ""260 km""]"
quant,Profit & Loss,An article costs Rs. 210. It is sold at 20% profit. What is the selling price?,Rs. 252,"[""Rs. 232"", ""Rs. 272"", ""Rs. 273""]"
quant,Time Speed Distance,A train travels at 81 km/h for 7 hours. What distance does it cover?,567 km,"[""648 km"", ""547 km"", ""577 km""]"
quant,Time Speed Distance,A train travels at 79 km/h for 5 hours. What distance does it cover?,395 km,"[""474 km"", ""405 km"", ""375 km""]"
logic,Number Series,"Find the next number in the series: 15, 19, 23, 27, ?",31,"[""30"", ""35"", ""33""]"
quant,Time Speed Distance,A train travels at 33 km/h for 7 hours. What distance does it cover?,231 km,"[""211 km"", ""264 km"", ""241 km""]"
quant,Profit & Loss,An article costs Rs. 720. It is sold at 50% profit. What is the selling price?,Rs. 1080,"[""Rs. 1060"", ""Rs. 1152"", ""Rs. 1100""]"
quant,Profit & Loss,An article costs Rs. 910. It is sold at 10% profit. What is the selling price?,Rs. 1001,"[""Rs. 981"", ""Rs. 1092"", ""Rs. 1021""]"
logic,Number Series,"Find the next number in the series: 12, 20, 28, 36, ?",44,"[""46"", ""43"", ""52""]"
quant,Profit & Loss,An article costs Rs. 940. It is sold at 10% profit. What is the selling price?,Rs. 1034,"[""Rs. 1014"", ""Rs. 1054"", ""Rs. 1128""]"
logic,Number Series,"Find the next number in the series: 10, 16, 22, 28, ?",34,"[""40"", ""36"", ""33""]"
logic,Number Series,"Find the next number in the series: 11, 18, 25, 32, ?",39,"[""41"", ""38"", ""46""]"
logic,Number Series,"Find the next number in the series: 12, 15, 18, 21, ?",24,"[""23"", ""26"", ""27""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""15 km"", ""12 km""]"
quant,Profit & Loss,An article costs Rs. 350. It is sold at 25% profit. What is the selling price?,Rs. 437,"[""Rs. 417"", ""Rs. 457"", ""Rs. 472""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""12 km"", ""17 km""]"
quant,Time Speed Distance,A train travels at 53 km/h for 6 hours. What distance does it cover?,318 km,"[""298 km"", ""328 km"", ""371 km""]"
logic,Number Series,"Find the next number in the series: 15, 23, 31, 39, ?",47,"[""46"", ""55"", ""49""]"
logic,Number Series,"Find the next number in the series: 7, 11, 15, 19, ?",23,"[""25"", ""22"", ""27""]"
logic,Number Series,"Find the next number in the series: 14, 21, 28, 35, ?",42,"[""49"", ""41"", ""44""]"
quant,Time Speed Distance,A train travels at 33 km/h for 2 hours. What distance does it cover?,66 km,"[""76 km"", ""46 km"", ""99 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""19 km"", ""23 km""]"
logic,Number Series,"Find the next number in the series: 7, 13, 19, 25, ?",31,"[""30"", ""33"", ""37""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""16 km"", ""23 km""]"
quant,Profit & Loss,An article costs Rs. 260. It is sold at 25% profit. What is the selling price?,Rs. 325,"[""Rs. 351"", ""Rs. 305"", ""Rs. 345""]"
quant,Time Speed Distance,A train travels at 84 km/h for 8 hours. What distance does it cover?,672 km,"[""682 km"", ""652 km"", ""756 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""17 km"", ""21 km""]"
quant,Time Speed Distance,A train travels at 70 km/h for 4 hours. What distance does it cover?,280 km,"[""290 km"", ""350 km"", ""260 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 340. It is sold at 10% profit. What is the selling price?,Rs. 374,"[""Rs. 408"", ""Rs. 394"", ""Rs. 354""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
quant,Profit & Loss,An article costs Rs. 1000. It is sold at 25% profit. What is the selling price?,Rs. 1250,"[""Rs. 1230"", ""Rs. 1350"", ""Rs. 1270""]"
quant,Time Speed Distance,A train travels at 63 km/h for 8 hours. What distance does it cover?,504 km,"[""567 km"", ""484 km"", ""514 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""21 km"", ""17 km""]"
quant,Profit & Loss,An article costs Rs. 260. It is sold at 10% profit. What is the selling price?,Rs. 286,"[""Rs. 306"", ""Rs. 312"", ""Rs. 266""]"
quant,Time Speed Distance,A train travels at 45 km/h for 2 hours. What distance does it cover?,90 km,"[""100 km"", ""70 km"", ""135 km""]"
quant,Time Speed Distance,A train travels at 43 km/h for 4 hours. What distance does it cover?,172 km,"[""215 km"", ""152 km"", ""182 km""]"
quant,Time Speed Distance,A train travels at 45 km/h for 5 hours. What distance does it cover?,225 km,"[""235 km"", ""270 km"", ""205 km""]"
quant,Time Speed Distance,A train travels at 45 km/h for 7 hours. What distance does it cover?,315 km,"[""325 km"", ""295 km"", ""360 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 2, 8, 14, 20, ?",26,"[""25"", ""28"", ""32""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""12 km"", ""15 km""]"
quant,Profit & Loss,An article costs Rs. 470. It is sold at 15% profit. What is the selling price?,Rs. 540,"[""Rs. 560"", ""Rs. 587"", ""Rs. 520""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""17 km"", ""15 km""]"
quant,Profit & Loss,An article costs Rs. 730. It is sold at 15% profit. What is the selling price?,Rs. 839,"[""Rs. 819"", ""Rs. 912"", ""Rs. 859""]"
quant,Time Speed Distance,A train travels at 35 km/h for 5 hours. What distance does it cover?,175 km,"[""210 km"", ""185 km"", ""155 km""]"
quant,Profit & Loss,An article costs Rs. 870. It is sold at 20% profit. What is the selling price?,Rs. 1044,"[""Rs. 1131"", ""Rs. 1024"", ""Rs. 1064""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""14 km"", ""17 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""9 km"", ""12 km""]"
logic,Number Series,"Find the next number in the series: 3, 9, 15, 21, ?",27,"[""33"", ""26"", ""29""]"
quant,Profit & Loss,An article costs Rs. 780. It is sold at 25% profit. What is the selling price?,Rs. 975,"[""Rs. 955"", ""Rs. 1053"", ""Rs. 995""]"
quant,Time Speed Distance,A train travels at 55 km/h for 4 hours. What distance does it cover?,220 km,"[""200 km"", ""275 km"", ""230 km""]"
logic,Number Series,"Find the next number in the series: 12, 17, 22, 27, ?",32,"[""34"", ""37"", ""31""]"
logic,Number Series,"Find the next number in the series: 13, 20, 27, 34, ?",41,"[""40"", ""43"", ""48""]"
logic,Number Series,"Find the next number in the series: 9, 12, 15, 18, ?",21,"[""23"", ""24"", ""20""]"
quant,Profit & Loss,An article costs Rs. 560. It is sold at 20% profit. What is the selling price?,Rs. 672,"[""Rs. 652"", ""Rs. 728"", ""Rs. 692""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""16 km"", ""19 km""]"
logic,Number Series,"Find the next number in the series: 8, 14, 20, 26, ?",32,"[""38"", ""31"", ""34""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""14 km"", ""9 km""]"
quant,Profit & Loss,An article costs Rs. 800. It is sold at 10% profit. What is the selling price?,Rs. 880,"[""Rs. 960"", ""Rs. 860"", ""Rs. 900""]"
quant,Time Speed Distance,A train travels at 84 km/h for 8 hours. What distance does it cover?,672 km,"[""652 km"", ""682 km"", ""756 km""]"
logic,Number Series,"Find the next number in the series: 15, 24, 33, 42, ?",51,"[""53"", ""50"", ""60""]"
logic,Number Series,"Find the next number in the series: 2, 7, 12, 17, ?",22,"[""21"", ""27"", ""24""]"
quant,Profit & Loss,An article costs Rs. 770. It is sold at 25% profit. What is the selling price?,Rs. 962,"[""Rs. 982"", ""Rs. 942"", ""Rs. 1039""]"
quant,Profit & Loss,An article costs Rs. 300. It is sold at 50% profit. What is the selling price?,Rs. 450,"[""Rs. 480"", ""Rs. 470"", ""Rs. 430""]"
logic,Number Series,"Find the next number in the series: 7, 10, 13, 16, ?",19,"[""18"", ""22"", ""21""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 370. It is sold at 20% profit. What is the selling price?,Rs. 444,"[""Rs. 464"", ""Rs. 424"", ""Rs. 481""]"
quant,Profit & Loss,An article costs Rs. 840. It is sold at 15% profit. What is the selling price?,Rs. 965,"[""Rs. 1049"", ""Rs. 945"", ""Rs. 985""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""19 km"", ""16 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 280. It is sold at 50% profit. What is the selling price?,Rs. 420,"[""Rs. 440"", ""Rs. 448"", ""Rs. 400""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""16 km"", ""19 km""]"
quant,Time Speed Distance,A train travels at 34 km/h for 7 hours. What distance does it cover?,238 km,"[""248 km"", ""272 km"", ""218 km""]"
logic,Number Series,"Find the next number in the series: 6, 15, 24, 33, ?",42,"[""44"", ""51"", ""41""]"
quant,Time Speed Distance,A train travels at 81 km/h for 2 hours. What distance does it cover?,162 km,"[""142 km"", ""172 km"", ""243 km""]"
quant,Profit & Loss,An article costs Rs. 730. It is sold at 15% profit. What is the selling price?,Rs. 839,"[""Rs. 859"", ""Rs. 819"", ""Rs. 912""]"
quant,Time Speed Distance,A train travels at 47 km/h for 4 hours. What distance does it cover?,188 km,"[""235 km"", ""198 km"", ""168 km""]"
logic,Number Series,"Find the next number in the series: 10, 15, 20, 25, ?",30,"[""29"", ""35"", ""32""]"
quant,Time Speed Distance,A train travels at 62 km/h for 6 hours. What distance does it cover?,372 km,"[""382 km"", ""352 km"", ""434 km""]"
quant,Profit & Loss,An article costs Rs. 540. It is sold at 15% profit. What is the selling price?,Rs. 621,"[""Rs. 601"", ""Rs. 641"", ""Rs. 675""]"
quant,Profit & Loss,An article costs Rs. 560. It is sold at 15% profit. What is the selling price?,Rs. 644,"[""Rs. 700"", ""Rs. 624"", ""Rs. 664""]"
quant,Time Speed Distance,A train travels at 41 km/h for 3 hours. What distance does it cover?,123 km,"[""103 km"", ""133 km"", ""164 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""17 km"", ""12 km""]"
quant,Time Speed Distance,A train travels at 85 km/h for 3 hours. What distance does it cover?,255 km,"[""265 km"", ""235 km"", ""340 km""]"
logic,Number Series,"Find the next number in the series: 5, 12, 19, 26, ?",33,"[""40"", ""35"", ""32""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 3, 7, 11, 15, ?",19,"[""21"", ""23"", ""18""]"
quant,Profit & Loss,An article costs Rs. 960. It is sold at 50% profit. What is the selling price?,Rs. 1440,"[""Rs. 1420"", ""Rs. 1460"", ""Rs. 1536""]"
quant,Time Speed Distance,A train travels at 36 km/h for 7 hours. What distance does it cover?,252 km,"[""288 km"", ""262 km"", ""232 km""]"
quant,Profit & Loss,An article costs Rs. 540. It is sold at 10% profit. What is the selling price?,Rs. 594,"[""Rs. 648"", ""Rs. 574"", ""Rs. 614""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""21 km"", ""14 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
quant,Time Speed Distance,A train travels at 90 km/h for 6 hours. What distance does it cover?,540 km,"[""550 km"", ""520 km"", ""630 km""]"
logic,Number Series,"Find the next number in the series: 8, 12, 16, 20, ?",24,"[""28"", ""26"", ""23""]"
logic,Number Series,"Find the next number in the series: 13, 21, 29, 37, ?",45,"[""47"", ""53"", ""44""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""12 km"", ""17 km""]"
quant,Time Speed Distance,A train travels at 81 km/h for 6 hours. What distance does it cover?,486 km,"[""567 km"", ""496 km"", ""466 km""]"
logic,Number Series,"Find the next number in the series: 12, 15, 18, 21, ?",24,"[""26"", ""27"", ""23""]"
logic,Number Series,"Find the next number in the series: 6, 13, 20, 27, ?",34,"[""33"", ""36"", ""41""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""9 km"", ""12 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""21 km"", ""14 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 760. It is sold at 25% profit. What is the selling price?,Rs. 950,"[""Rs. 970"", ""Rs. 930"", ""Rs. 1026""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""14 km"", ""9 km""]"
quant,Time Speed Distance,A train travels at 43 km/h for 5 hours. What distance does it cover?,215 km,"[""225 km"", ""258 km"", ""195 km""]"
quant,Time Speed Distance,A train travels at 84 km/h for 3 hours. What distance does it cover?,252 km,"[""336 km"", ""232 km"", ""262 km""]"
logic,Number Series,"Find the next number in the series: 8, 11, 14, 17, ?",20,"[""23"", ""19"", ""22""]"
quant,Profit & Loss,An article costs Rs. 930. It is sold at 20% profit. What is the selling price?,Rs. 1116,"[""Rs. 1096"", ""Rs. 1209"", ""Rs. 1136""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""21 km"", ""14 km""]"
logic,Number Series,"Find the next number in the series: 4, 10, 16, 22, ?",28,"[""27"", ""34"", ""30""]"
quant,Time Speed Distance,A train travels at 68 km/h for 7 hours. What distance does it cover?,476 km,"[""544 km"", ""456 km"", ""486 km""]"
quant,Profit & Loss,An article costs Rs. 400. It is sold at 15% profit. What is the selling price?,Rs. 459,"[""Rs. 479"", ""Rs. 439"", ""Rs. 499""]"
quant,Profit & Loss,An article costs Rs. 490. It is sold at 20% profit. What is the selling price?,Rs. 588,"[""Rs. 637"", ""Rs. 608"", ""Rs. 568""]"
logic,Number Series,"Find the next number in the series: 13, 16, 19, 22, ?",25,"[""24"", ""28"", ""27""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""14 km"", ""9 km""]"
quant,Time Speed Distance,A train travels at 76 km/h for 7 hours. What distance does it cover?,532 km,"[""542 km"", ""608 km"", ""512 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""14 km"", ""9 km""]"
logic,Number Series,"Find the next number in the series: 11, 20, 29, 38, ?",47,"[""46"", ""49"", ""56""]"
quant,Profit & Loss,An article costs Rs. 240. It is sold at 15% profit. What is the selling price?,Rs. 276,"[""Rs. 300"", ""Rs. 256"", ""Rs. 296""]"
quant,Profit & Loss,An article costs Rs. 710. It is sold at 15% profit. What is the selling price?,Rs. 816,"[""Rs. 887"", ""Rs. 836"", ""Rs. 796""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 8, 16, 24, 32, ?",40,"[""42"", ""39"", ""48""]"
logic,Number Series,"Find the next number in the series: 4, 7, 10, 13, ?",16,"[""19"", ""18"", ""15""]"
logic,Number Series,"Find the next number in the series: 7, 14, 21, 28, ?",35,"[""42"", ""34"", ""37""]"
quant,Time Speed Distance,A train travels at 38 km/h for 8 hours. What distance does it cover?,304 km,"[""314 km"", ""342 km"", ""284 km""]"
logic,Number Series,"Find the next number in the series: 11, 20, 29, 38, ?",47,"[""46"", ""56"", ""49""]"
quant,Profit & Loss,An article costs Rs. 460. It is sold at 25% profit. What is the selling price?,Rs. 575,"[""Rs. 621"", ""Rs. 595"", ""Rs. 555""]"
quant,Time Speed Distance,A train travels at 87 km/h for 5 hours. What distance does it cover?,435 km,"[""522 km"", ""415 km"", ""445 km""]"
logic,Number Series,"Find the next number in the series: 9, 16, 23, 30, ?",37,"[""44"", ""39"", ""36""]"
quant,Time Speed Distance,A train travels at 69 km/h for 8 hours. What distance does it cover?,552 km,"[""562 km"", ""532 km"", ""621 km""]"
quant,Profit & Loss,An article costs Rs. 590. It is sold at 20% profit. What is the selling price?,Rs. 708,"[""Rs. 688"", ""Rs. 728"", ""Rs. 767""]"
quant,Time Speed Distance,A train travels at 30 km/h for 7 hours. What distance does it cover?,210 km,"[""190 km"", ""220 km"", ""240 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""12 km"", ""15 km""]"
quant,Time Speed Distance,A train travels at 31 km/h for 8 hours. What distance does it cover?,248 km,"[""228 km"", ""279 km"", ""258 km""]"
quant,Time Speed Distance,A train travels at 46 km/h for 2 hours. What distance does it cover?,92 km,"[""102 km"", ""72 km"", ""138 km""]"
quant,Profit & Loss,An article costs Rs. 1000. It is sold at 50% profit. What is the selling price?,Rs. 1500,"[""Rs. 1520"", ""Rs. 1480"", ""Rs. 1600""]"
quant,Time Speed Distance,A train travels at 37 km/h for 7 hours. What distance does it cover?,259 km,"[""239 km"", ""269 km"", ""296 km""]"
logic,Number Series,"Find the next number in the series: 9, 12, 15, 18, ?",21,"[""20"", ""23"", ""24""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""14 km"", ""17 km""]"
quant,Time Speed Distance,A train travels at 47 km/h for 7 hours. What distance does it cover?,329 km,"[""376 km"", ""339 km"", ""309 km""]"
logic,Number Series,"Find the next number in the series: 12, 18, 24, 30, ?",36,"[""42"", ""38"", ""35""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""21 km"", ""17 km""]"
logic,Number Series,"Find the next number in the series: 10, 14, 18, 22, ?",26,"[""30"", ""25"", ""28""]"
quant,Profit & Loss,An article costs Rs. 790. It is sold at 20% profit. What is the selling price?,Rs. 948,"[""Rs. 928"", ""Rs. 1027"", ""Rs. 968""]"
logic,Number Series,"Find the next number in the series: 6, 9, 12, 15, ?",18,"[""20"", ""17"", ""21""]"
quant,Time Speed Distance,A train travels at 51 km/h for 5 hours. What distance does it cover?,255 km,"[""235 km"", ""265 km"", ""306 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""14 km"", ""17 km""]"
